Amount,TransactionType,Location,Hour,Device,IsFraud
40220.0,Bill Payment,Hyderabad,10,iOS,0
41473.14,Merchant Payment,Bangalore,6,Android,0
43388.27,Bill Payment,Delhi,18,Android,0
32600.03,Merchant Payment,Delhi,23,Android,0
37303.25,Merchant Payment,Kolkata,20,Android,0
7317.2,Merchant Payment,Delhi,4,Android,0
8284.93,Send Money,Hyderabad,3,Android,0
2779.22,Send Money,Chennai,4,Android,0
19687.59,Send Money,Kolkata,19,iOS,0
2183.32,Send Money,Kolkata,11,Android,0
20818.96,Send Money,Mumbai,6,Android,0
41674.59,Send Money,Bangalore,2,iOS,1
45133.63,Merchant Payment,Delhi,5,iOS,0
38952.03,Send Money,Chennai,17,iOS,0
23145.34,Bill Payment,Chennai,18,iOS,0
23899.08,Bill Payment,Hyderabad,3,Android,0
16381.5,Bill Payment,Delhi,10,iOS,0
45818.24,Bill Payment,Chennai,20,Android,0
32632.84,Merchant Payment,Hyderabad,4,iOS,0
36747.31,Send Money,Hyderabad,0,iOS,0
30722.84,Send Money,Hyderabad,15,iOS,1
6879.02,Merchant Payment,Delhi,23,iOS,0
39757.79,Merchant Payment,Mumbai,22,Android,0
30812.12,Send Money,Mumbai,4,iOS,0
26136.36,Merchant Payment,Kolkata,17,iOS,0
46562.5,Send Money,Chennai,20,Android,0
20936.23,Merchant Payment,Delhi,22,iOS,0
38128.98,Send Money,Chennai,15,Android,0
7397.69,Merchant Payment,Hyderabad,2,Android,0
27654.12,Merchant Payment,Bangalore,22,iOS,0
49331.71,Merchant Payment,Kolkata,0,iOS,1
31857.32,Send Money,Bangalore,2,iOS,0
22721.35,Merchant Payment,Bangalore,17,Android,0
15103.35,Merchant Payment,Chennai,12,iOS,1
43961.21,Send Money,Chennai,16,iOS,1
33287.58,Bill Payment,Hyderabad,3,Android,0
12048.99,Send Money,Kolkata,10,iOS,0
32816.89,Send Money,Mumbai,21,Android,0
40076.08,Send Money,Delhi,23,iOS,1
46390.49,Merchant Payment,Kolkata,2,iOS,0
10097.09,Send Money,Chennai,2,iOS,0
42558.04,Send Money,Chennai,10,iOS,0
35498.14,Merchant Payment,Chennai,12,iOS,0
2127.1,Merchant Payment,Bangalore,5,iOS,0
9184.83,Merchant Payment,Hyderabad,9,Android,0
28624.93,Send Money,Delhi,10,iOS,0
34991.8,Bill Payment,Bangalore,6,iOS,0
20207.68,Bill Payment,Mumbai,21,Android,0
15242.18,Bill Payment,Chennai,14,iOS,0
20445.07,Send Money,Kolkata,20,iOS,0
20925.82,Bill Payment,Mumbai,11,Android,0
35103.09,Bill Payment,Hyderabad,13,iOS,0
27461.73,Bill Payment,Hyderabad,4,iOS,0
36837.92,Merchant Payment,Mumbai,13,iOS,0
39995.52,Send Money,Hyderabad,5,iOS,0
3612.24,Merchant Payment,Chennai,20,Android,0
8657.99,Send Money,Mumbai,17,iOS,0
42828.84,Bill Payment,Chennai,9,Android,0
18252.32,Merchant Payment,Mumbai,12,iOS,0
34386.38,Merchant Payment,Chennai,3,Android,0
10460.79,Bill Payment,Bangalore,18,Android,0
49456.76,Bill Payment,Delhi,22,iOS,0
22417.8,Bill Payment,Delhi,20,Android,0
23471.65,Send Money,Delhi,22,Android,0
11650.29,Send Money,Delhi,4,Android,0
4214.93,Send Money,Kolkata,6,iOS,0
33513.46,Merchant Payment,Hyderabad,19,Android,0
16929.44,Merchant Payment,Delhi,22,Android,0
25244.53,Merchant Payment,Delhi,10,iOS,0
24945.86,Bill Payment,Hyderabad,20,Android,0
31545.3,Send Money,Mumbai,9,Android,0
46373.75,Bill Payment,Bangalore,16,Android,0
13908.33,Merchant Payment,Hyderabad,4,iOS,0
23880.52,Merchant Payment,Hyderabad,23,iOS,0
39102.44,Merchant Payment,Mumbai,11,Android,0
27659.66,Bill Payment,Bangalore,23,iOS,0
36690.34,Merchant Payment,Hyderabad,23,Android,0
38869.38,Bill Payment,Kolkata,23,iOS,1
20584.68,Merchant Payment,Hyderabad,1,Android,0
46235.84,Merchant Payment,Delhi,10,Android,0
5473.02,Merchant Payment,Chennai,22,iOS,0
36974.18,Merchant Payment,Bangalore,9,Android,0
42907.68,Send Money,Kolkata,10,iOS,0
20073.76,Merchant Payment,Hyderabad,16,iOS,0
17408.09,Merchant Payment,Kolkata,18,Android,0
13748.5,Merchant Payment,Kolkata,13,Android,0
35884.78,Merchant Payment,Hyderabad,10,iOS,0
6849.7,Bill Payment,Delhi,2,iOS,0
19624.53,Merchant Payment,Delhi,11,Android,0
3367.66,Send Money,Hyderabad,8,Android,0
17171.19,Bill Payment,Kolkata,10,iOS,0
14234.2,Merchant Payment,Bangalore,8,Android,0
26481.81,Merchant Payment,Delhi,23,iOS,0
12076.19,Send Money,Delhi,7,Android,0
28078.85,Merchant Payment,Hyderabad,6,iOS,0
49735.14,Merchant Payment,Delhi,14,iOS,0
9267.12,Bill Payment,Delhi,4,Android,0
25641.48,Bill Payment,Mumbai,22,Android,0
2063.54,Send Money,Hyderabad,1,Android,0
15635.37,Send Money,Kolkata,1,Android,0
34912.5,Send Money,Kolkata,10,Android,0
93.02,Send Money,Bangalore,6,iOS,0
24480.21,Send Money,Bangalore,0,Android,1
13024.82,Send Money,Hyderabad,5,Android,0
11420.36,Send Money,Delhi,17,iOS,0
35580.79,Send Money,Hyderabad,4,Android,1
472.9,Send Money,Chennai,22,Android,0
12089.53,Bill Payment,Delhi,2,iOS,0
42669.94,Bill Payment,Bangalore,12,Android,0
12720.63,Merchant Payment,Hyderabad,5,Android,1
18083.19,Merchant Payment,Mumbai,17,Android,0
10825.62,Bill Payment,Hyderabad,12,Android,0
17330.47,Send Money,Chennai,9,Android,0
36931.63,Send Money,Mumbai,19,iOS,0
7194.5,Merchant Payment,Mumbai,16,Android,0
210.34,Send Money,Hyderabad,22,iOS,0
44866.14,Merchant Payment,Bangalore,2,iOS,0
2535.48,Bill Payment,Mumbai,10,Android,0
917.85,Bill Payment,Mumbai,1,Android,0
30542.4,Bill Payment,Hyderabad,4,Android,0
28351.22,Merchant Payment,Chennai,6,iOS,0
633.37,Merchant Payment,Bangalore,0,iOS,0
44483.92,Bill Payment,Mumbai,15,iOS,0
8930.3,Send Money,Kolkata,16,iOS,0
23495.35,Merchant Payment,Hyderabad,21,iOS,0
37088.4,Merchant Payment,Hyderabad,15,iOS,0
45199.62,Merchant Payment,Kolkata,16,iOS,0
37182.58,Send Money,Delhi,10,iOS,0
44379.68,Bill Payment,Hyderabad,15,Android,0
20462.91,Bill Payment,Hyderabad,0,iOS,0
18866.53,Bill Payment,Chennai,8,Android,0
16980.49,Merchant Payment,Chennai,0,Android,0
44052.99,Send Money,Bangalore,8,Android,0
23426.15,Send Money,Mumbai,10,Android,1
32629.43,Bill Payment,Kolkata,16,Android,0
38242.53,Merchant Payment,Chennai,7,iOS,1
47650.43,Send Money,Bangalore,14,Android,0
4857.92,Merchant Payment,Chennai,19,iOS,0
12670.24,Send Money,Mumbai,10,iOS,0
14808.68,Bill Payment,Kolkata,20,Android,0
10348.61,Merchant Payment,Bangalore,14,Android,0
13234.35,Merchant Payment,Hyderabad,4,Android,0
12270.5,Merchant Payment,Mumbai,21,iOS,0
26547.21,Send Money,Delhi,17,Android,0
44400.56,Merchant Payment,Delhi,0,iOS,0
26833.03,Bill Payment,Bangalore,19,Android,0
24106.72,Merchant Payment,Mumbai,20,Android,0
12666.7,Send Money,Bangalore,20,Android,0
30410.38,Bill Payment,Kolkata,1,Android,0
49430.31,Merchant Payment,Chennai,3,iOS,0
46034.09,Bill Payment,Hyderabad,16,Android,0
31139.21,Merchant Payment,Hyderabad,1,iOS,1
21905.1,Bill Payment,Chennai,6,Android,0
3112.53,Bill Payment,Chennai,9,Android,0
19652.44,Merchant Payment,Hyderabad,3,Android,0
33000.97,Bill Payment,Mumbai,15,Android,0
8870.0,Merchant Payment,Kolkata,2,iOS,0
44625.46,Merchant Payment,Delhi,17,iOS,0
15130.99,Merchant Payment,Chennai,8,Android,0
28095.33,Merchant Payment,Hyderabad,3,iOS,0
32357.12,Bill Payment,Chennai,9,Android,0
4595.27,Merchant Payment,Mumbai,7,iOS,0
16334.08,Send Money,Mumbai,19,iOS,0
33395.78,Send Money,Kolkata,4,Android,0
33740.08,Merchant Payment,Chennai,21,Android,0
47646.59,Bill Payment,Chennai,13,Android,0
48806.66,Bill Payment,Bangalore,12,iOS,0
43756.63,Bill Payment,Bangalore,23,Android,0
16117.56,Bill Payment,Chennai,20,Android,0
12217.81,Merchant Payment,Kolkata,9,iOS,0
37252.13,Merchant Payment,Delhi,23,iOS,0
12018.91,Bill Payment,Hyderabad,14,Android,0
20505.02,Send Money,Hyderabad,6,iOS,0
385.28,Bill Payment,Bangalore,0,iOS,0
38719.05,Send Money,Mumbai,14,Android,0
7706.64,Bill Payment,Bangalore,0,iOS,1
3491.34,Send Money,Hyderabad,22,iOS,0
33176.03,Send Money,Chennai,10,iOS,0
27613.72,Bill Payment,Delhi,5,iOS,1
49971.1,Bill Payment,Mumbai,0,Android,1
15923.14,Bill Payment,Delhi,7,Android,0
17673.35,Merchant Payment,Chennai,7,iOS,0
16084.07,Merchant Payment,Chennai,5,iOS,0
7204.0,Merchant Payment,Kolkata,13,Android,0
3385.25,Send Money,Delhi,12,Android,0
1751.57,Bill Payment,Chennai,8,iOS,0
43041.44,Merchant Payment,Hyderabad,6,iOS,0
19730.13,Merchant Payment,Hyderabad,13,Android,0
37515.8,Bill Payment,Delhi,17,Android,0
37577.03,Send Money,Chennai,23,Android,0
41157.15,Bill Payment,Chennai,1,iOS,0
22441.99,Bill Payment,Delhi,22,iOS,0
9623.11,Send Money,Bangalore,14,iOS,0
28325.37,Bill Payment,Bangalore,17,iOS,0
2482.46,Bill Payment,Bangalore,22,Android,0
37897.94,Merchant Payment,Bangalore,2,iOS,0
26100.7,Send Money,Bangalore,3,iOS,0
63.36,Send Money,Hyderabad,0,iOS,0
44514.3,Bill Payment,Chennai,2,Android,0
10766.76,Bill Payment,Bangalore,11,Android,0
4966.86,Send Money,Mumbai,9,Android,0
43015.49,Send Money,Bangalore,4,Android,0
13247.71,Bill Payment,Bangalore,22,Android,0
5000.55,Send Money,Mumbai,18,Android,0
42620.59,Merchant Payment,Mumbai,23,iOS,1
2218.31,Bill Payment,Mumbai,5,Android,0
40311.49,Send Money,Chennai,22,iOS,0
48544.53,Bill Payment,Chennai,22,Android,0
16061.07,Send Money,Kolkata,5,Android,0
17940.05,Bill Payment,Bangalore,16,Android,0
46639.65,Bill Payment,Chennai,17,Android,0
23096.28,Bill Payment,Bangalore,6,iOS,0
18935.85,Send Money,Delhi,12,Android,0
10734.8,Bill Payment,Chennai,18,iOS,0
46375.97,Bill Payment,Mumbai,4,iOS,1
19630.31,Merchant Payment,Kolkata,2,iOS,0
34024.14,Bill Payment,Mumbai,21,Android,0
24825.91,Bill Payment,Bangalore,4,Android,0
43939.39,Bill Payment,Kolkata,23,iOS,0
38747.65,Bill Payment,Delhi,3,iOS,1
42783.55,Send Money,Kolkata,20,iOS,0
5064.3,Merchant Payment,Hyderabad,9,Android,0
30364.5,Bill Payment,Kolkata,21,Android,0
39739.58,Merchant Payment,Mumbai,5,Android,0
1208.28,Bill Payment,Hyderabad,22,Android,0
33419.85,Bill Payment,Chennai,2,iOS,0
26117.32,Send Money,Bangalore,22,Android,0
4849.54,Merchant Payment,Delhi,12,Android,0
4045.96,Bill Payment,Kolkata,13,iOS,0
21559.51,Send Money,Delhi,8,iOS,0
2029.56,Merchant Payment,Hyderabad,4,Android,0
46794.35,Merchant Payment,Kolkata,18,Android,0
7796.33,Bill Payment,Mumbai,17,iOS,0
22256.35,Send Money,Delhi,23,iOS,0
14309.5,Merchant Payment,Delhi,4,Android,0
41502.66,Merchant Payment,Hyderabad,3,iOS,0
39791.47,Bill Payment,Bangalore,7,iOS,1
35244.87,Bill Payment,Bangalore,18,Android,0
19581.43,Send Money,Chennai,2,Android,0
46534.92,Bill Payment,Mumbai,20,Android,0
48787.04,Send Money,Bangalore,19,iOS,1
11825.66,Send Money,Bangalore,13,Android,0
28432.8,Merchant Payment,Delhi,8,iOS,0
40031.18,Bill Payment,Hyderabad,20,iOS,0
4538.05,Send Money,Bangalore,11,Android,0
38540.95,Bill Payment,Bangalore,2,Android,0
33645.94,Bill Payment,Chennai,3,Android,0
46834.12,Send Money,Chennai,18,Android,0
25414.56,Bill Payment,Delhi,22,iOS,0
21094.09,Send Money,Chennai,23,iOS,0
2551.16,Merchant Payment,Mumbai,14,Android,0
3025.94,Merchant Payment,Chennai,19,iOS,0
31900.46,Merchant Payment,Chennai,4,iOS,0
33595.99,Merchant Payment,Chennai,22,Android,0
25293.06,Merchant Payment,Bangalore,1,Android,0
6566.45,Send Money,Bangalore,9,iOS,0
13636.6,Send Money,Mumbai,13,iOS,0
14573.56,Bill Payment,Delhi,7,iOS,0
8767.28,Bill Payment,Chennai,18,Android,0
15423.58,Send Money,Chennai,9,iOS,0
24061.34,Merchant Payment,Hyderabad,5,iOS,0
41029.65,Send Money,Bangalore,6,Android,0
19609.08,Send Money,Kolkata,17,iOS,0
6553.21,Bill Payment,Chennai,0,Android,0
38160.14,Merchant Payment,Bangalore,1,Android,1
49941.49,Bill Payment,Bangalore,11,iOS,0
23051.96,Send Money,Chennai,18,Android,0
20374.05,Bill Payment,Chennai,10,iOS,0
11266.63,Merchant Payment,Mumbai,4,iOS,0
44496.05,Send Money,Mumbai,3,Android,1
46940.88,Bill Payment,Kolkata,10,iOS,0
9767.32,Send Money,Hyderabad,17,iOS,0
34069.66,Send Money,Chennai,16,Android,0
45665.13,Send Money,Delhi,18,iOS,0
13817.61,Merchant Payment,Hyderabad,8,Android,0
12659.21,Merchant Payment,Hyderabad,18,iOS,0
10661.62,Send Money,Hyderabad,16,iOS,0
10407.82,Bill Payment,Chennai,21,iOS,0
37356.32,Bill Payment,Delhi,3,Android,0
23976.06,Merchant Payment,Hyderabad,17,iOS,0
20598.05,Bill Payment,Delhi,15,iOS,0
37731.11,Send Money,Bangalore,23,Android,0
23196.77,Send Money,Delhi,5,iOS,0
13308.88,Send Money,Mumbai,14,Android,0
20108.37,Send Money,Bangalore,22,iOS,0
8105.46,Bill Payment,Bangalore,18,iOS,0
42551.35,Merchant Payment,Mumbai,5,Android,0
15296.95,Bill Payment,Hyderabad,2,iOS,0
46926.19,Merchant Payment,Kolkata,2,Android,0
37241.1,Merchant Payment,Mumbai,1,iOS,0
11924.54,Bill Payment,Chennai,7,iOS,0
39346.7,Merchant Payment,Chennai,23,Android,0
26159.29,Send Money,Bangalore,19,iOS,0
45893.82,Merchant Payment,Bangalore,3,Android,0
49331.57,Send Money,Hyderabad,5,Android,0
39391.76,Bill Payment,Hyderabad,14,iOS,0
38511.95,Bill Payment,Delhi,4,iOS,0
1232.3,Send Money,Kolkata,10,iOS,0
2769.95,Bill Payment,Chennai,10,iOS,0
47257.96,Send Money,Bangalore,20,iOS,0
37305.94,Merchant Payment,Delhi,17,Android,0
12292.53,Send Money,Bangalore,19,Android,0
31781.66,Merchant Payment,Kolkata,8,iOS,0
32025.56,Send Money,Mumbai,7,iOS,0
28934.68,Send Money,Delhi,3,iOS,1
16614.83,Send Money,Delhi,19,Android,0
3574.51,Merchant Payment,Mumbai,1,Android,0
29016.21,Merchant Payment,Mumbai,2,iOS,0
26111.03,Merchant Payment,Bangalore,22,Android,0
8494.01,Merchant Payment,Chennai,10,Android,0
42105.09,Send Money,Kolkata,16,iOS,0
38253.57,Send Money,Chennai,4,Android,1
14758.01,Bill Payment,Delhi,23,Android,0
30520.67,Bill Payment,Kolkata,3,Android,0
34132.58,Send Money,Chennai,14,Android,0
11126.17,Bill Payment,Chennai,7,iOS,0
27294.46,Merchant Payment,Kolkata,0,Android,0
46399.25,Bill Payment,Kolkata,22,iOS,0
3601.8,Bill Payment,Chennai,9,Android,0
23421.34,Merchant Payment,Hyderabad,23,Android,0
4768.43,Send Money,Hyderabad,14,Android,0
1617.13,Bill Payment,Kolkata,5,Android,0
31335.69,Send Money,Bangalore,4,iOS,1
11541.65,Merchant Payment,Kolkata,5,iOS,0
49941.44,Send Money,Chennai,19,Android,0
29126.41,Merchant Payment,Mumbai,18,iOS,0
42999.93,Merchant Payment,Delhi,9,Android,0
15167.07,Bill Payment,Delhi,22,iOS,0
39924.43,Send Money,Mumbai,23,Android,0
25280.09,Bill Payment,Bangalore,13,Android,0
16540.54,Send Money,Bangalore,12,Android,0
11401.11,Merchant Payment,Kolkata,2,iOS,0
8858.3,Bill Payment,Kolkata,6,Android,0
29090.55,Send Money,Mumbai,19,iOS,0
22239.95,Bill Payment,Bangalore,16,Android,0
560.72,Send Money,Hyderabad,13,iOS,0
10147.49,Bill Payment,Mumbai,19,iOS,0
24708.24,Send Money,Kolkata,13,Android,0
2307.7,Bill Payment,Bangalore,2,iOS,0
32204.03,Bill Payment,Hyderabad,5,iOS,0
5148.86,Bill Payment,Hyderabad,20,iOS,0
11187.28,Bill Payment,Mumbai,13,Android,0
46285.08,Send Money,Hyderabad,10,iOS,0
47596.92,Send Money,Kolkata,12,iOS,1
48535.8,Bill Payment,Chennai,4,Android,0
30740.69,Bill Payment,Hyderabad,11,iOS,0
3760.12,Merchant Payment,Delhi,16,iOS,0
15617.59,Merchant Payment,Mumbai,22,iOS,0
10986.78,Bill Payment,Hyderabad,17,iOS,0
42979.46,Bill Payment,Delhi,15,iOS,0
46334.26,Send Money,Mumbai,2,iOS,0
4429.23,Merchant Payment,Kolkata,16,Android,0
37691.0,Send Money,Hyderabad,3,Android,1
42138.17,Bill Payment,Chennai,0,iOS,0
44255.8,Bill Payment,Delhi,16,Android,0
2378.15,Send Money,Bangalore,13,Android,0
26098.6,Send Money,Bangalore,6,Android,0
32570.24,Send Money,Bangalore,18,Android,0
19709.66,Merchant Payment,Mumbai,18,Android,0
1101.35,Bill Payment,Chennai,15,Android,0
39143.2,Merchant Payment,Delhi,20,Android,0
14247.53,Merchant Payment,Hyderabad,18,iOS,0
2126.88,Bill Payment,Kolkata,8,iOS,0
49382.5,Send Money,Mumbai,4,Android,0
23995.13,Merchant Payment,Delhi,3,Android,0
47271.37,Send Money,Chennai,23,iOS,0
46505.97,Bill Payment,Kolkata,17,iOS,0
42977.94,Bill Payment,Mumbai,3,Android,0
26540.86,Merchant Payment,Delhi,21,Android,0
19597.97,Send Money,Chennai,13,iOS,0
13181.14,Bill Payment,Bangalore,12,Android,0
18071.33,Merchant Payment,Mumbai,2,iOS,0
17139.09,Send Money,Hyderabad,17,Android,0
37358.07,Send Money,Delhi,8,iOS,0
35520.86,Merchant Payment,Chennai,9,iOS,0
25963.17,Bill Payment,Chennai,19,Android,0
46384.14,Send Money,Delhi,14,Android,0
13702.57,Send Money,Bangalore,19,Android,0
19264.54,Bill Payment,Bangalore,23,Android,0
10113.69,Merchant Payment,Hyderabad,6,iOS,0
26595.87,Send Money,Mumbai,22,iOS,0
44776.27,Bill Payment,Mumbai,4,iOS,0
46462.82,Send Money,Kolkata,11,iOS,0
32814.92,Send Money,Chennai,3,iOS,1
42844.45,Send Money,Chennai,8,Android,0
22416.32,Send Money,Kolkata,11,Android,0
13524.35,Merchant Payment,Kolkata,20,Android,0
20892.99,Send Money,Bangalore,11,iOS,0
28293.85,Bill Payment,Bangalore,13,iOS,0
39238.25,Merchant Payment,Hyderabad,11,iOS,0
8507.23,Merchant Payment,Delhi,5,iOS,0
5768.15,Bill Payment,Bangalore,8,iOS,0
40796.9,Send Money,Hyderabad,0,iOS,1
5942.68,Merchant Payment,Delhi,9,iOS,0
29385.87,Merchant Payment,Bangalore,8,Android,0
49988.27,Bill Payment,Delhi,18,iOS,0
4397.09,Send Money,Hyderabad,21,iOS,0
17764.69,Bill Payment,Chennai,16,Android,0
12672.85,Merchant Payment,Hyderabad,11,Android,0
16957.4,Bill Payment,Bangalore,14,Android,0
43814.6,Send Money,Kolkata,11,Android,0
14850.46,Send Money,Bangalore,20,Android,0
9856.01,Send Money,Delhi,16,iOS,0
26699.94,Merchant Payment,Mumbai,23,Android,0
26103.79,Merchant Payment,Kolkata,2,iOS,0
34918.94,Merchant Payment,Chennai,12,Android,0
6336.92,Merchant Payment,Mumbai,16,iOS,0
31451.11,Bill Payment,Bangalore,22,iOS,0
1831.15,Bill Payment,Chennai,2,Android,0
21016.92,Send Money,Kolkata,0,Android,0
4688.21,Merchant Payment,Chennai,11,iOS,0
48603.79,Merchant Payment,Hyderabad,3,iOS,0
1985.79,Merchant Payment,Hyderabad,1,Android,0
47444.2,Merchant Payment,Delhi,7,Android,0
16238.94,Bill Payment,Hyderabad,18,Android,0
49750.52,Send Money,Bangalore,19,Android,0
14380.78,Send Money,Mumbai,6,iOS,0
1639.3,Send Money,Mumbai,22,Android,0
49301.63,Send Money,Mumbai,7,Android,0
29026.11,Bill Payment,Delhi,3,iOS,0
34491.19,Merchant Payment,Chennai,5,Android,0
8524.25,Send Money,Hyderabad,16,iOS,0
3329.25,Merchant Payment,Chennai,23,iOS,0
2823.88,Merchant Payment,Chennai,13,Android,0
39778.32,Bill Payment,Mumbai,21,iOS,0
41536.89,Send Money,Delhi,22,Android,0
34263.88,Send Money,Chennai,18,Android,0
23116.77,Send Money,Chennai,10,Android,0
7505.57,Merchant Payment,Delhi,19,iOS,0
42384.85,Send Money,Bangalore,2,Android,0
38114.94,Merchant Payment,Delhi,4,Android,0
29610.72,Merchant Payment,Kolkata,8,Android,0
49562.32,Send Money,Bangalore,23,Android,0
29826.29,Merchant Payment,Chennai,5,iOS,0
12370.88,Bill Payment,Chennai,12,Android,0
34097.98,Merchant Payment,Bangalore,21,Android,0
5373.28,Send Money,Kolkata,9,iOS,0
6200.95,Send Money,Chennai,2,iOS,0
36287.79,Send Money,Mumbai,2,iOS,1
41411.61,Merchant Payment,Kolkata,21,iOS,0
47849.01,Bill Payment,Delhi,1,iOS,1
49883.39,Send Money,Mumbai,11,Android,0
28582.77,Send Money,Bangalore,1,Android,0
32870.12,Merchant Payment,Delhi,14,iOS,0
26880.01,Bill Payment,Chennai,0,Android,0
43650.63,Merchant Payment,Delhi,13,Android,0
36703.49,Merchant Payment,Bangalore,21,iOS,0
22318.04,Merchant Payment,Mumbai,20,iOS,0
2528.48,Send Money,Bangalore,18,Android,0
25262.62,Send Money,Kolkata,23,Android,0
19173.31,Merchant Payment,Chennai,20,iOS,0
47955.21,Bill Payment,Delhi,4,Android,1
26111.85,Bill Payment,Hyderabad,23,Android,0
1703.55,Merchant Payment,Chennai,15,iOS,0
2675.72,Merchant Payment,Hyderabad,14,iOS,0
23135.38,Bill Payment,Kolkata,16,Android,0
41833.67,Send Money,Mumbai,8,Android,0
8168.7,Bill Payment,Chennai,9,Android,0
7558.15,Merchant Payment,Mumbai,23,iOS,0
31011.13,Bill Payment,Hyderabad,14,iOS,0
29284.33,Merchant Payment,Mumbai,4,Android,0
25364.43,Bill Payment,Hyderabad,0,Android,0
18770.15,Merchant Payment,Bangalore,1,Android,0
27170.03,Bill Payment,Mumbai,5,iOS,0
34641.65,Send Money,Delhi,23,Android,0
30887.3,Merchant Payment,Mumbai,14,iOS,0
19809.3,Send Money,Chennai,11,Android,1
800.0,Bill Payment,Hyderabad,15,iOS,0
30999.6,Merchant Payment,Chennai,6,iOS,0
1310.61,Merchant Payment,Bangalore,6,Android,0
22268.38,Bill Payment,Delhi,20,Android,0
38385.38,Merchant Payment,Chennai,15,iOS,0
45666.78,Send Money,Bangalore,11,Android,1
20566.05,Merchant Payment,Hyderabad,20,Android,0
7216.42,Bill Payment,Chennai,11,Android,0
44333.41,Merchant Payment,Hyderabad,22,Android,0
24718.05,Send Money,Bangalore,7,iOS,0
43875.07,Merchant Payment,Bangalore,21,Android,0
21130.53,Bill Payment,Bangalore,17,Android,0
4130.58,Bill Payment,Chennai,14,iOS,0
21435.36,Bill Payment,Hyderabad,5,Android,0
35833.97,Merchant Payment,Kolkata,19,iOS,0
44082.04,Merchant Payment,Kolkata,8,iOS,0
49655.01,Bill Payment,Delhi,4,iOS,0
46348.18,Bill Payment,Bangalore,5,iOS,0
42036.4,Bill Payment,Kolkata,16,Android,0
40292.79,Merchant Payment,Hyderabad,9,Android,0
30717.95,Bill Payment,Delhi,13,Android,0
25054.15,Bill Payment,Chennai,2,iOS,0
40030.85,Merchant Payment,Delhi,13,Android,0
36961.22,Send Money,Chennai,8,iOS,0
47432.84,Bill Payment,Mumbai,9,iOS,0
8301.64,Merchant Payment,Hyderabad,19,Android,0
34440.72,Bill Payment,Mumbai,16,Android,0
23425.58,Merchant Payment,Delhi,12,Android,0
48600.0,Send Money,Delhi,1,Android,1
11327.61,Bill Payment,Hyderabad,7,iOS,0
25619.33,Merchant Payment,Delhi,22,Android,0
37043.35,Merchant Payment,Delhi,20,Android,0
145.34,Send Money,Delhi,16,iOS,0
23007.27,Send Money,Mumbai,19,iOS,0
4664.54,Merchant Payment,Hyderabad,7,Android,0
39140.24,Send Money,Chennai,4,Android,0
11272.61,Merchant Payment,Hyderabad,0,iOS,0
39877.89,Merchant Payment,Hyderabad,21,iOS,0
32642.83,Merchant Payment,Hyderabad,18,Android,0
47240.81,Bill Payment,Mumbai,12,iOS,1
8097.51,Merchant Payment,Delhi,7,iOS,0
17742.72,Bill Payment,Hyderabad,15,iOS,0
5856.19,Send Money,Mumbai,18,iOS,0
